序号,城市,地点,场景类型,频谱数据目录名称,IQ数据相对目录,IQ数据组名称,备注,极化方式,频段,频谱峰值频率(MHz),频谱峰值功率(dBμV/m),频谱BW_3dB(MHz),IQ中心频率(MHz),IQ数据组完整名称,IQ文件状态,汇总说明
22,北京测点,东坝福润四季,闹市区,东坝福润四季小区,20260611IQR,20260611beijingfurunsj,,垂直极化,30M-6G (All),"3468.253968, 3452.380952, 3412.698413, 3428.571429, 3500.000000, 2587.301587, 2531.746032, 1849.206349, 2555.555556, 2626.984127","123.281, 121.155, 120.594, 120.409, 120.258, 106.130, 105.124, 100.942, 100.456, 97.109","8.750085, 21.974537, 11.695238, 14.210961, 7.065237, 9.076866, 11.593186, 29.309536, 43.612177, 7.589351","385, 775, 950, 1850, 2550, 3450","20260611beijingfurunsj385m, 20260611beijingfurunsj775m, 20260611beijingfurunsj950m, 20260611beijingfurunsj1850m, 20260611beijingfurunsj2550m, 20260611beijingfurunsj3450m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值5/10，关联IQ 6组
23,北京测点,北京第一中西医结合医院,医院外部,北京第一中西医结合医院,20260611IQR,20260611beijingzxyyiyuan,,垂直极化,30M-6G (All),"2531.746032, 2119.047619, 1857.142857, 2150.793651, 3412.698413, 3523.809524, 2134.920635, 3476.190476, 3436.507937, 3460.317460","116.575, 115.254, 112.507, 112.259, 112.253, 111.911, 111.777, 107.717, 106.125, 105.978","5.542944, 5.124197, 17.228844, 40.975688, 18.880066, 20.640131, 41.144317, 8.879373, 48.209818, 12.313485","380, 560, 670, 770, 880, 950, 1850, 2100, 2550, 3500","20260611beijingzxyyiyuan380m, 20260611beijingzxyyiyuan560m, 20260611beijingzxyyiyuan670m, 20260611beijingzxyyiyuan770m, 20260611beijingzxyyiyuan880m, 20260611beijingzxyyiyuan950m, 20260611beijingzxyyiyuan1850m, 20260611beijingzxyyiyuan2100m, 20260611beijingzxyyiyuan2550m, 20260611beijingzxyyiyuan3500m","离线, 离线, 离线, 离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 10组
24,北京测点,交大嘉园,居民区,交大嘉园,20260612IQR,20260611beijingjiaodajy,,垂直极化,30M-6G (All),"2126.984127, 1880.952381, 2579.365079, 3507.936508, 2555.555556, 3563.492063, 1865.079365, 2523.809524, 5809.523810, 948.412698","110.461, 107.038, 105.913, 104.348, 104.292, 103.786, 103.337, 102.637, 101.944, 101.928","21.474211, 5.999529, 11.549807, 12.033740, 3.718903, 6.430989, 22.865643, 12.772907, 25.153334, 0.182528","100, 560, 775, 870, 940, 1880, 2150","20260611beijingjiaodajy100m, 20260611beijingjiaodajy560m, 20260611beijingjiaodajy775m, 20260611beijingjiaodajy870m, 20260611beijingjiaodajy940m, 20260611beijingjiaodajy1880m, 20260611beijingjiaodajy2150m","离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值3/10，关联IQ 7组
25,北京测点,交大家属区,居民区,交大家属院,20260612IQR,20260611beijingjiaodajjiashu,,垂直极化,30M-6G (All),"1825.396825, 760.317460, 1857.142857, 780.952381, 1896.825397, 942.857143, 2523.809524, 2603.174603, 2547.619048, 1920.634921","109.901, 108.768, 107.562, 106.866, 106.302, 105.921, 103.427, 102.899, 102.467, 102.110","21.573958, 1.015332, 50.174643, 3.333892, 20.447843, 8.824699, 38.278619, 21.240253, 42.139658, 36.501270","100, 770, 875, 940, 1850, 2600","20260611beijingjiaodajjiashu100m, 20260611beijingjiaodajjiashu770m, 20260611beijingjiaodajjiashu875m, 20260611beijingjiaodajjiashu940m, 20260611beijingjiaodajjiashu1850m, 20260611beijingjiaodajjiashu2600m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值5/10，关联IQ 6组
26,北京测点,枫蓝国际购物中心,闹市区,枫蓝国际购物广场,20260612IQR,20260611beijingfenlangj,,垂直极化,30M-6G (All),"2579.365079, 3468.253968, 3603.174603, 3587.301587, 3515.873016, 2595.238095, 3492.063492, 3444.444444, 2531.746032, 1865.079365","108.298, 104.572, 102.366, 102.168, 100.924, 100.787, 99.421, 99.156, 97.995, 97.938","14.692115, 6.196648, 26.004643, 26.198968, 12.493624, 58.099113, 10.385957, 18.718496, 96.405850, 33.421814","100, 560, 775, 875, 950, 1850, 2550","20260611beijingfenlangj100m, 20260611beijingfenlangj560m, 20260611beijingfenlangj775m, 20260611beijingfenlangj875m, 20260611beijingfenlangj950m, 20260611beijingfenlangj1850m, 20260611beijingfenlangj2550m","离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 7组
27,北京测点,西直门地下停车场,大型停车场,西直门停车场,20260612IQR,20260611beijingkaidemaotcc,,垂直极化,30M-6G (All),"2349.206349, 2325.396825, 2523.809524, 2587.301587, 2563.492063, 5746.031746, 2142.857143, 2126.984127, 3380.952381, 5777.777778","100.086, 95.819, 94.207, 92.567, 89.417, 86.397, 86.289, 86.029, 85.997, 85.543","19.808905, 35.255100, 23.049533, 14.748979, 81.487358, 19.677239, 21.126319, 12.645107, 12.965927, 5.112485","923, 2400, 2550","20260611beijingkaidemaotcc923, 20260611beijingkaidemaotcc2400m, 20260611beijingkaidemaotcc2550m","离线, 离线, 离线",已覆盖主要峰值1/10，关联IQ 3组
28,北京测点,动物园北门停车场,大型停车场,动物园北门停车场,20260612IQR,20260611beijingdongwuyuan,,垂直极化,30M-6G (All),"1849.206349, 1920.634921, 1904.761905, 1817.460317, 3404.761905, 3523.809524, 2523.809524, 2539.682540, 2555.555556, 944.444444","115.184, 111.086, 110.902, 110.478, 110.059, 109.651, 107.343, 106.918, 106.549, 105.429","22.931565, 28.160069, 28.503934, 51.264308, 17.842447, 19.974055, 29.666064, 44.935552, 46.560233, 0.724981","97, 775, 870, 945, 1850, 2550","20260611beijingdongwuyuan97m, 20260611beijingdongwuyuan775m, 20260611beijingdongwuyuan870m, 20260611beijingdongwuyuan945m, 20260611beijingdongwuyuan1850m, 20260611beijingdongwuyuan2550m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值4/10，关联IQ 6组
29,北京测点,高粱桥斜街小区,居民区,高粱斜街小区,20260612IQR,20260611beijing0gaoliangxj,,垂直极化,30M-6G (All),"2563.492063, 1746.031746, 2523.809524, 3515.873016, 761.111111, 780.158730, 3476.190476, 2603.174603, 3444.444444, 879.365079","115.547, 108.163, 105.203, 104.688, 101.620, 101.514, 98.730, 96.233, 95.819, 95.093","9.965940, 1.507838, 25.817143, 11.784146, 4.236979, 1.425461, 6.530560, 96.303826, 31.768901, 0.722658","560, 670, 770, 870, 940, 1850, 2570","20260611beijing0gaoliangxj560m, 20260611beijing0gaoliangxj670m, 20260611beijing0gaoliangxj770m, 20260611beijing0gaoliangxj870m, 20260611beijing0gaoliangxj940m, 20260611beijing0gaoliangxj1850m, 20260611beijing0gaoliangxj2570m","离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值4/10，关联IQ 7组
30,北京测点,国家图书馆,基站,国家图书馆,20260612IQR,20260611beijingguojiatsg,,垂直极化,30M-6G (All),"2666.666667, 3579.365079, 3484.126984, 3531.746032, 2595.238095, 2539.682540, 2555.555556, 3420.634921, 763.492063, 3404.761905","123.494, 122.222, 121.770, 121.055, 119.055, 117.783, 117.624, 115.898, 114.962, 114.324","16.995974, 15.362020, 27.677658, 11.222115, 6.680007, 41.279820, 42.040484, 25.117958, 6.270879, 26.482010","98, 750, 780, 860, 1850, 2600","20260611beijingguojiatsg98m, 20260611beijingguojiatsg750m, 20260611beijingguojiatsg780m, 20260611beijingguojiatsg860m, 20260611beijingguojiatsg1850m, 20260611beijingguojiatsg2600m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 6组
31,北京测点,北京丰科万达广场,购物广场,丰科万达广场,20260615IQR,20260611beijingfentaiwanda,,垂直极化,30M-6G (All),"1817.460317, 2579.365079, 1833.333333, 2619.047619, 2595.238095, 2539.682540, 2555.555556, 949.206349, 2523.809524, 774.603175","111.943, 111.341, 110.083, 109.880, 109.568, 107.646, 107.084, 106.640, 105.858, 105.857","17.238351, 10.622210, 18.959034, 46.231565, 46.718073, 99.683150, 101.210278, 0.414828, 104.547656, 2.197199","775, 870, 950, 1830, 2570","20260611beijingfentaiwanda775m, 20260611beijingfentaiwanda870m, 20260611beijingfentaiwanda950m, 20260611beijingfentaiwanda1830m, 20260611beijingfentaiwanda2570m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值6/10，关联IQ 5组
